Action ID,Short Description,hatchery releases,hatchery adult stray rate,removal rate of natural WRCS for hatchery broodstock,adult enroute survival,rearing habitat (floodplain),rearing habitat (instream),egg to fry survival,predator contact points,Proportion of high predation in a watershed. This is an expert elicited value for each watershed and is used to calculate juvenile survival in tandem with contact points.,effect of proportion of diverted flow on juvenile rearing survival,delta outmigration survival,probability of fish routed to Georgiana Slouth,Days per month the CC gates are closed,Proportion of days per month the CC gates are closed,"effect of upstream volitional passage on adults, specific to keswick dam","effect of upstream volitional passage on juveniles, specific to keswick dam",spawning habitat,prespawn survival,juveniles at Chipps,Sacramento River flow,temperature of Shasta releases,incidental harvest in the ocean,incidental harvest,juvenile capture efficiency,effect of downstream trap-and-haul on juvenile salmon,effect of reservoir residency on juvenile survival,proportion of adults that spawn above-dam,effect of upstream trap-and-haul on adults,effect of above-dam habitat on juvenile rearing size class distribution,yearling logic,effect of upstream volitional passage on adults,effect of downstream volitional passage on juvenile salmon
,TO DO,update array with new numbers,add a multiplier parameter for stray rate,update array with new numbers,add a multiplier parameter to the survival output from the function (1 survival value between Jan-Apr per watershed): edit apply_enroute_survival,modify DSMhabitat output in parameter list,modify DSMhabitat output in parameter list,potentially come up with TDM by tributary based on average across years,update parameter,update parameter,modify input to rearing function,multiplier on juvenile survival function output,change probability in routing function,modify parameter input in juvenile survival,modify parameter input in routing/rearing,new parameter - add parameter to parameter list. will multiply adults by this value. MAY NEED INPUT.,new parameter - add parameter to parameter list. will multiply juveniles by this value. MAY NEED INPUT.,modify DSMhabitat output in parameter list,multiplier to output from prespawn survival function,add additional juveniles in model script,not FlowWest,not FlowWest,new parameter - add parameter to parameter list. will multiply returning ocean fish by this. are we modeling this?,change to being a parameter,new parameter - add parameter to parameter list. will multiply above dam fish by this value for trap and haul actions,new parameter - add parameter to parameter list. will multiply above dam fish by this value for trap and haul actions. CONFIRM WITH NOBLE ON VALUE,new parameter - add parameter to parameter list. will multiply above dam fish by this value for trap and haul actions. requires yearling logic. may or may not do this. Also need more information,modify input value in parameter list,new parameter - add parameter to parameter list. will multiply above dam fish by this value for trap and haul actions. CONFIRM WITH NOBLE ON VALUE,new parameter list? multiplier across size classes applied to juveniles in spawn_success function,"change in model code, imported from spring run. may or may not implement.",new parameter - add parameter to parameter list. will multiply adults by this value.,new parameter - add parameter to parameter list. will multiply juveniles by this value.
H-1,LSNFH modified release practices,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2a,LSNFH facility upgrades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2b,Upgrades to Keswick Dam adult collection system,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-2c,New broodfish collection facility in Upper Sacramento River,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-3,CNFH trapping and sorting improvements,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-1,Restore floodplain access for rearing habitat in upper and upper-mid Sacramento,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-2a,Physically build and maintain new instream perennial juvenile rearing habitat,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-2b,Artificially enhance existing instream juvenile rearing habitat,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-3,Build or enhance in-channel spawning habitat,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
SR-4a,Reduce predation on Sacramento River,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
SR-4b,Reduce predation on Sacramento River,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
SR-5,Reduce entrainment at Sacramento River diversions,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
SR-6,Georgiana Slough bubble curtain,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
SR-7,Real-time management of DCC gates,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
SR-8a,Night time light reduction on Sundial Bridge and other sources,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
SR-8b,Night time light reduction on Sundial Bridge and other sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR-9,Provide volitional upstream and downstream fish passage at Keswick Dam,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,
SR-10,Construct Anderson Cottonwood Irrigation District Water Supply & Fisheries Resiliency Project,,,,,,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,
SR-11,Captive rearing and assisted migration of juveniles in drought years,,,,,,,,,,,,,,,,,,,X,,,,,?,,,,,,,,
SR-12,Purchase water rights/leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-1,Shasta TCD Upgrade/Cold water outlet to access colder water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-1,Improve WR Salvage at Tracy & State Fish Collection Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-2,"Increase distance from shoreline to ""International"" designation",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
O-3,Modify ocean harvest ,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
BC-1,Control illegal harvest and/or poaching in Battle Creek,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
BC-2,Battle Creek habitat improvements,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-3,CNFH water supply intake improvements on Battle Creek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-5,Remove boulder barrier on North Fork Battle Creek downstream of Eagle Canyon Dam,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,
BC-6,Complete PG&E decommissioning and restore unimpaired flows on North Fork Battle Creek,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,
BC-7,Limit cold water diversions,,,,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,
BC-8,Battle Creek egg incubation,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC-9,Implement Battle Creek Reintroduction Plan ,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASD-1,Excess hatchery eggs placed in-river or in streamside egg incubators,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
ASD-2,Control illegal harvest and/or poaching in McCloud River,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
ASD-3,Release hatchery fry into upper McCloud,X,,,,,X,,,,,,,,,,,,,,,,,,X,X,,,,,,,
ASD-4,Release hatchery fry into lower McCloud,X,,,,,X,X,,,,,,,,,,,,,,,,,X,X,X,,,,,,
ASD-5,"Two way trap and haul (adult spawners above Shasta Dam, juveniles downstream of Shasta Dam)",,,,,,X,X,,,,,,,,,,X,,,,,,,X,X,,X,X,X,X,,
ASD-6,Volitional passage above Shasta Dam into McCloud River,,,,,,X,X,,,,,,,,,,X,,,,,,,,X,,X,,X,X,X,X
ASD-7,Remove McCloud Dam,,,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,